analysis	ppi	network	component	condition_contrast	design_contrast	direction	inference	design_con_valid	group_input_exists	expected_participants	group_input_volumes	group_input_complete	tstat_exists	corrp_exists	peak_corrp	peak_gt_threshold	status	corrp_file	copied_image	copied_sidecar	roi_values_tsv
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.5394	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0506	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.8368	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0424	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.516	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	both-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.517	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.252	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.9872	true	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat2.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnEcnPpiComp0012RtpjMinusVlpfcNegativeClusterExtentCorrp_stat-corrp_statmap.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnEcnPpiComp0012RtpjMinusVlpfcNegativeClusterExtentCorrp_stat-corrp_statmap.json	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnEcnPpiComp0012RtpjMinusVlpfcNegativeClusterExtentCorrp_stat-stage2Beta_timeseries.tsv
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	rtpj-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.2366	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	rtpj-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.5328	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat2.nii.gz			
